질문ID,질문내용,모델,순수점수,RAG점수,개선점수,순수응답시간,RAG응답시간,시간변화,사용판례수,분석결과
q02,퇴직금 지급 기일을 연장하는 합의를 했더라도 연장된 기일까지 지급하지 않으면 형사처벌을 받...,GPT-4o,N/A,N/A,73.9,4.119826078414917,7.664024353027344,3.5441982746124268,3,사건번호 1건 인용으로 구체성 향상; 법률 키워드 4개 추가로 근거 강화; 답변 길이 189글자 증가; 3건 판례 활용...
q02,퇴직금 지급 기일을 연장하는 합의를 했더라도 연장된 기일까지 지급하지 않으면 형사처벌을 받...,Claude-3.5,N/A,N/A,34.5,8.80585241317749,9.509239673614502,0.7033872604370117,3,법률 키워드 3개 추가로 근거 강화; 3건 판례 활용...
q01,취업규칙을 근로자에게 불리하게 변경할 때 사용자가 지켜야 할 법적 요건은 무엇인가요?...,GPT-4o,N/A,N/A,68.0,6.1574461460113525,7.228874683380127,1.0714285373687744,3,법률 키워드 5개 추가로 근거 강화; 답변 길이 280글자 증가; 3건 판례 활용...
q01,취업규칙을 근로자에게 불리하게 변경할 때 사용자가 지켜야 할 법적 요건은 무엇인가요?...,Claude-3.5,N/A,N/A,18.8,10.262080669403076,11.46466875076294,1.2025880813598633,3,법률 키워드 증가 없음; 3건 판례 활용...
q03,여객자동차법상 운수종사자 보수교육 시간이 근로시간에 포함되는 기준은 무엇인가요?...,GPT-4o,N/A,N/A,32.7,5.132987022399902,10.026762247085571,4.893775224685669,3,법률 키워드 증가 없음; 답변 길이 177글자 증가; 3건 판례 활용...
q03,여객자동차법상 운수종사자 보수교육 시간이 근로시간에 포함되는 기준은 무엇인가요?...,Claude-3.5,N/A,N/A,24.6,10.6771240234375,13.21167516708374,2.5345511436462402,3,법률 키워드 증가 없음; 3건 판례 활용...
q04,휴일근로수당 지급 대상이 되는 휴일의 범위와 판단 기준은 어떻게 되나요?...,GPT-4o,N/A,N/A,100,7.841599225997925,14.498348951339722,6.656749725341797,3,법률 키워드 11개 추가로 근거 강화; 답변 길이 326글자 증가; 3건 판례 활용...
q04,휴일근로수당 지급 대상이 되는 휴일의 범위와 판단 기준은 어떻게 되나요?...,Claude-3.5,N/A,N/A,87.6,7.049122333526611,11.821987867355347,4.772865533828735,3,법률 키워드 8개 추가로 근거 강화; 답변 길이 326글자 증가; 3건 판례 활용...
q06,의사가 의료기관에 대하여 갖는 급여·수당·퇴직금 채권이 상사채권에 해당하는지 여부는?...,GPT-4o,N/A,N/A,82.5,5.914772272109985,7.974434852600098,2.0596625804901123,3,사건번호 1건 인용으로 구체성 향상; 법률 키워드 7개 추가로 근거 강화; 답변 길이 125글자 증가; 3건 판례 활용...
q06,의사가 의료기관에 대하여 갖는 급여·수당·퇴직금 채권이 상사채권에 해당하는지 여부는?...,Claude-3.5,N/A,N/A,34.6,10.179571151733398,11.125002145767212,0.9454309940338135,3,사건번호 1건 인용으로 구체성 향상; 법률 키워드 증가 없음; 3건 판례 활용...
q08,임대차계약에서 보증금 반환의무와 지연손해금 산정 기준은 어떻게 되나요?...,GPT-4o,N/A,N/A,47.8,5.504414319992065,13.621086835861206,8.11667251586914,3,법률 키워드 3개 추가로 근거 강화; 답변 길이 178글자 증가; 3건 판례 활용...
q08,임대차계약에서 보증금 반환의무와 지연손해금 산정 기준은 어떻게 되나요?...,Claude-3.5,N/A,N/A,12.1,9.653501272201538,7.382310628890991,-2.271190643310547,3,법률 키워드 2개 추가로 근거 강화; 답변 길이 129글자 감소; 3건 판례 활용...
q07,부당이득반환청구권의 소멸시효 기산점과 상계적상 발생 조건은 무엇인가요?...,GPT-4o,N/A,N/A,65.8,6.747001886367798,17.103846549987793,10.356844663619995,3,법률 키워드 6개 추가로 근거 강화; 답변 길이 208글자 증가; 3건 판례 활용...
q07,부당이득반환청구권의 소멸시효 기산점과 상계적상 발생 조건은 무엇인가요?...,Claude-3.5,N/A,N/A,0,11.45800495147705,6.509305715560913,-4.948699235916138,3,법률 키워드 증가 없음; 답변 길이 287글자 감소; 3건 판례 활용...
q05,근로기준법 위반죄에서 사용자의 고의 인정 기준과 소멸시효 적용 원칙은 무엇인가요?...,GPT-4o,N/A,N/A,57.2,7.814468145370483,14.559949159622192,6.745481014251709,3,사건번호 1건 인용으로 구체성 향상; 법률 키워드 증가 없음; 답변 길이 222글자 증가; 3건 판례 활용...
q05,근로기준법 위반죄에서 사용자의 고의 인정 기준과 소멸시효 적용 원칙은 무엇인가요?...,Claude-3.5,N/A,N/A,53.2,14.508085489273071,14.417365550994873,-0.09071993827819824,3,사건번호 2건 인용으로 구체성 향상; 법률 키워드 증가 없음; 3건 판례 활용...
q12,영업정지 처분에 대한 불복절차와 집행정지 신청 요건은 어떻게 되나요?...,GPT-4o,N/A,N/A,4.0,6.589349031448364,11.057088851928711,4.467739820480347,3,법률 키워드 증가 없음; 답변 길이 110글자 감소; 3건 판례 활용...
